"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260512","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","N","2,076,811","2,099,811","2,069,807","0","0","0","9","10","9"
"20260512","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","Y","-40,000","0","-21,266","0","0","0","0","0","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","N","2,076,811","2,099,811","2,036,811","0","0","0","9","10","9"
"20260217","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","Y","-40,000","0","0","0","0","0","0","0","0"
"20260512","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","N","5,219,539","5,045,539","5,222,889","59","59","59","0","0","0"
"20260512","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","Y","-174,000","0","-174,000","-3","-3","-3","0","0","0"
"20260217","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","Y","-174,000","0","-174,000","-3","-3","-3","0","0","0"
"20260217","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","N","5,219,539","5,045,539","5,222,889","59","59","59","0","0","0"
"20260512","2027","010","BOROUGH PRESIDENT - MANHATTAN","002","OTHER THAN PERSONAL SERVICES","N","1,080,571","974,612","1,138,858","0","0","0","0","9","0"
"20260512","2027","010","BOROUGH PRESIDENT - MANHATTAN","002","OTHER THAN PERSONAL SERVICES","Y","-108,728","174,505","-108,728","0","0","0","0","0","0"
"20260217","2027","010","BOROUGH PRESIDENT - MANHATTAN","002","OTHER THAN PERSONAL SERVICES","N","1,080,571","974,612","646,471","0","0","0","0","9","0"
"20260217","2027","010","BOROUGH PRESIDENT - MANHATTAN","002","OTHER THAN PERSONAL SERVICES","Y","-108,728","0","-108,728","0","0","0","0","0","0"
"20260512","2027","011","BOROUGH PRESIDENT BRONX","001","PERSONAL SERVICES","N","7,432,509","7,494,680","7,432,509","86","86","86","0","0","0"
"20260512","2027","011","BOROUGH PRESIDENT BRONX","001","PERSONAL SERVICES","Y","-1,640,963","-1,640,963","-1,640,963","-17","-17","-17","0","0","0"
"20260217","2027","011","BOROUGH PRESIDENT BRONX","001","PERSONAL SERVICES","Y","-1,640,963","-1,640,963","-1,640,963","-17","-17","-17","0","0","0"
"20260217","2027","011","BOROUGH PRESIDENT BRONX","001","PERSONAL SERVICES","N","7,432,509","7,432,509","7,432,509","86","86","86","0","0","0"
"20260512","2027","011","BOROUGH PRESIDENT BRONX","002","OTHER THAN PERSONAL SERVICES","N","2,229,748","2,167,577","2,303,572","0","0","0","40","41","40"
"20260512","2027","011","BOROUGH PRESIDENT BRONX","002","OTHER THAN PERSONAL SERVICES","Y","-986,315","-782,300","-996,315","0","0","0","0","0","0"
"20260217","2027","011","BOROUGH PRESIDENT BRONX","002","OTHER THAN PERSONAL SERVICES","Y","-986,315","-986,315","-996,315","0","0","0","0","0","0"
"20260217","2027","011","BOROUGH PRESIDENT BRONX","002","OTHER THAN PERSONAL SERVICES","N","2,229,748","2,229,748","1,682,548","0","0","0","40","41","40"
"20260512","2027","012","BOROUGH PRESIDENT - BROOKLYN","001","PERSONAL SERVICES","N","6,439,459","6,439,459","6,442,293","71","71","71","0","0","0"
"20260512","2027","012","BOROUGH PRESIDENT - BROOKLYN","001","PERSONAL SERVICES","Y","-84,665","-84,665","-84,665","-4","-4","-4","0","0","0"
"20260217","2027","012","BOROUGH PRESIDENT - BROOKLYN","001","PERSONAL SERVICES","Y","-84,665","-84,665","-84,665","-4","-4","-4","0","0","0"
"20260217","2027","012","BOROUGH PRESIDENT - BROOKLYN","001","PERSONAL SERVICES","N","6,439,459","6,439,459","6,442,293","71","71","71","0","0","0"
"20260512","2027","012","BOROUGH PRESIDENT - BROOKLYN","002","OTHER THAN PERSONAL SERVICES","N","1,380,509","1,604,833","1,526,531","0","0","0","3","6","3"
"20260217","2027","012","BOROUGH PRESIDENT - BROOKLYN","002","OTHER THAN PERSONAL SERVICES","N","1,380,509","1,380,509","508,109","0","0","0","3","6","3"
"20260512","2027","013","BOROUGH PRESIDENT - QUEENS","001","PERSONAL SERVICES","N","5,065,966","5,565,966","5,069,893","72","72","72","0","0","0"
"20260512","2027","013","BOROUGH PRESIDENT - QUEENS","001","PERSONAL SERVICES","Y","0","0","0","-18","-18","-18","0","0","0"
"20260217","2027","013","BOROUGH PRESIDENT - QUEENS","001","PERSONAL SERVICES","N","5,065,966","5,065,966","5,069,893","72","72","72","0","0","0"
"20260217","2027","013","BOROUGH PRESIDENT - QUEENS","001","PERSONAL SERVICES","Y","0","0","0","-18","-18","-18","0","0","0"
"20260512","2027","013","BOROUGH PRESIDENT - QUEENS","002","OTHER THAN PERSONAL SERVICES","N","1,617,644","2,248,400","1,703,879","0","0","0","11","12","11"
"20260512","2027","013","BOROUGH PRESIDENT - QUEENS","002","OTHER THAN PERSONAL SERVICES","Y","95,000","196,580","0","0","0","0","0","0","0"
"20260217","2027","013","BOROUGH PRESIDENT - QUEENS","002","OTHER THAN PERSONAL SERVICES","N","1,617,644","2,653,400","768,344","0","0","0","11","12","11"
"20260217","2027","013","BOROUGH PRESIDENT - QUEENS","002","OTHER THAN PERSONAL SERVICES","Y","95,000","95,000","0","0","0","0","0","0","0"
"20260512","2027","014","BOROUGH PRESIDENT STATEN ISLAND","001","PERSONAL SERVICES","Y","-914,218","-914,218","-914,218","-3","-3","-3","0","0","0"
"20260512","2027","014","BOROUGH PRESIDENT STATEN ISLAND","001","PERSONAL SERVICES","N","5,147,753","4,097,753","5,147,753","48","48","48","0","0","0"
"20260217","2027","014","BOROUGH PRESIDENT STATEN ISLAND","001","PERSONAL SERVICES","Y","-914,218","-914,218","-914,218","-3","-3","-3","0","0","0"
