"Publication Date","Fiscal Year","Agency Number","Agency Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260512","2027","437","QUEENS COMMUNITY BOARD #7","N","394,912","394,912","394,912","2","2","2","3","4","3"
"20260217","2027","437","QUEENS COMMUNITY BOARD #7","N","394,912","394,912","394,912","2","2","2","3","4","3"
"20260512","2027","438","QUEENS COMMUNITY BOARD #8","N","407,127","407,127","408,354","3","3","3","1","2","1"
"20260217","2027","438","QUEENS COMMUNITY BOARD #8","N","407,127","407,127","407,127","3","3","3","1","2","1"
"20260512","2027","439","QUEENS COMMUNITY BOARD #9","N","292,231","292,231","294,279","3","3","3","2","1","2"
"20260217","2027","439","QUEENS COMMUNITY BOARD #9","N","292,231","292,231","292,231","3","3","3","2","1","2"
"20260512","2027","440","QUEENS COMMUNITY BOARD #10","N","340,680","340,680","341,056","3","3","3","6","6","6"
"20260217","2027","440","QUEENS COMMUNITY BOARD #10","N","340,680","340,680","340,680","3","3","3","6","6","6"
"20260512","2027","441","QUEENS COMMUNITY BOARD #11","N","377,984","377,984","378,709","2","2","2","5","4","5"
"20260217","2027","441","QUEENS COMMUNITY BOARD #11","N","377,984","377,984","377,984","2","2","2","5","6","5"
"20260512","2027","442","QUEENS COMMUNITY BOARD #12","N","371,442","371,442","374,125","3","3","3","2","3","2"
"20260217","2027","442","QUEENS COMMUNITY BOARD #12","N","371,442","371,442","371,442","3","3","3","2","3","2"
"20260512","2027","443","QUEENS COMMUNITY BOARD #13","N","358,205","358,205","362,342","2","2","2","2","3","2"
"20260217","2027","443","QUEENS COMMUNITY BOARD #13","N","358,205","358,205","358,205","2","2","2","2","3","2"
"20260512","2027","444","QUEENS COMMUNITY BOARD #14","N","305,806","305,806","305,916","2","2","2","1","2","1"
"20260217","2027","444","QUEENS COMMUNITY BOARD #14","N","305,806","305,806","305,806","2","2","2","1","2","1"
"20260512","2027","471","BROOKLYN COMMUNITY BOARD #1","N","393,231","393,231","393,167","3","3","3","0","0","0"
"20260217","2027","471","BROOKLYN COMMUNITY BOARD #1","N","393,231","393,231","393,231","3","3","3","0","0","0"
"20260512","2027","472","BROOKLYN COMMUNITY BOARD #2","N","365,767","365,767","359,767","3","3","3","0","0","0"
"20260217","2027","472","BROOKLYN COMMUNITY BOARD #2","N","365,767","365,767","359,767","3","3","3","0","0","0"
"20260512","2027","473","BROOKLYN COMMUNITY BOARD #3","N","320,444","320,444","323,680","3","3","3","3","4","3"
"20260217","2027","473","BROOKLYN COMMUNITY BOARD #3","N","320,444","320,444","320,444","3","3","3","3","4","3"
"20260512","2027","474","BROOKLYN COMMUNITY BOARD #4","N","345,739","345,739","344,003","3","3","3","4","3","4"
"20260217","2027","474","BROOKLYN COMMUNITY BOARD #4","N","345,739","345,739","340,739","3","3","3","4","3","4"
"20260512","2027","475","BROOKLYN COMMUNITY BOARD #5","N","292,874","292,874","287,874","2","2","2","3","4","3"
"20260217","2027","475","BROOKLYN COMMUNITY BOARD #5","N","292,874","292,874","287,874","2","2","2","3","3","3"
"20260512","2027","476","BROOKLYN COMMUNITY BOARD #6","N","399,467","399,467","396,967","3","3","3","1","1","1"
"20260217","2027","476","BROOKLYN COMMUNITY BOARD #6","N","399,467","399,467","396,967","3","3","3","1","1","1"
"20260512","2027","477","BROOKLYN COMMUNITY BOARD #7","N","301,427","300,927","296,427","3","3","3","2","2","2"
"20260217","2027","477","BROOKLYN COMMUNITY BOARD #7","N","301,427","300,927","296,427","3","3","3","2","3","2"
"20260512","2027","478","BROOKLYN COMMUNITY BOARD #8","N","380,585","380,585","380,981","3","3","3","3","4","3"
"20260217","2027","478","BROOKLYN COMMUNITY BOARD #8","N","380,585","380,585","377,636","3","3","3","3","3","3"
"20260512","2027","479","BROOKLYN COMMUNITY BOARD #9","N","421,418","421,418","419,485","2","2","2","6","6","6"
"20260217","2027","479","BROOKLYN COMMUNITY BOARD #9","N","421,418","421,418","415,918","2","2","2","6","6","6"
"20260512","2027","480","BROOKLYN COMMUNITY BOARD #10","N","392,890","392,890","393,430","2","2","2","3","6","4"
"20260217","2027","480","BROOKLYN COMMUNITY BOARD #10","N","392,890","392,890","392,959","2","2","2","3","6","4"
"20260512","2027","481","BROOKLYN COMMUNITY BOARD #11","N","383,858","383,858","391,802","1","1","1","8","8","8"
"20260217","2027","481","BROOKLYN COMMUNITY BOARD #11","N","383,858","383,858","383,858","1","1","1","8","8","8"
"20260512","2027","482","BROOKLYN COMMUNITY BOARD #12","N","383,723","383,723","386,926","2","2","2","5","4","5"
"20260217","2027","482","BROOKLYN COMMUNITY BOARD #12","N","383,723","383,723","378,723","2","2","2","5","5","5"
"20260512","2027","483","BROOKLYN COMMUNITY BOARD #13","N","414,056","414,056","416,510","2","2","2","4","5","4"
"20260217","2027","483","BROOKLYN COMMUNITY BOARD #13","N","414,056","414,056","414,056","2","2","2","4","5","4"
"20260512","2027","484","BROOKLYN COMMUNITY BOARD #14","N","425,845","425,845","420,032","3","3","3","3","4","3"
"20260217","2027","484","BROOKLYN COMMUNITY BOARD #14","N","425,845","425,845","418,345","3","3","3","3","4","3"
"20260512","2027","485","BROOKLYN COMMUNITY BOARD #15","N","280,971","280,971","280,971","3","3","3","1","1","1"
"20260217","2027","485","BROOKLYN COMMUNITY BOARD #15","N","280,971","280,971","280,971","3","3","3","1","1","1"
"20260512","2027","486","BROOKLYN COMMUNITY BOARD #16","N","313,065","313,065","308,065","3","3","3","1","1","1"
"20260217","2027","486","BROOKLYN COMMUNITY BOARD #16","N","313,065","313,065","308,065","3","3","3","1","2","1"
"20260512","2027","487","BROOKLYN COMMUNITY BOARD #17","N","403,279","403,279","407,159","4","4","4","5","6","5"
"20260217","2027","487","BROOKLYN COMMUNITY BOARD #17","N","403,279","403,279","395,779","4","4","4","5","6","5"
"20260512","2027","488","BROOKLYN COMMUNITY BOARD #18","N","292,201","292,201","292,201","2","2","2","4","5","4"
"20260217","2027","488","BROOKLYN COMMUNITY BOARD #18","N","292,201","292,201","292,201","2","2","2","4","4","4"
"20260512","2027","491","STATEN ISLAND COMMUNITY BOARD #1","N","369,744","369,744","371,667","3","3","3","0","0","0"
"20260217","2027","491","STATEN ISLAND COMMUNITY BOARD #1","N","369,744","369,744","369,744","3","3","3","0","0","0"
"20260512","2027","492","STATEN ISLAND COMMUNITY BOARD #2","N","325,687","325,687","325,687","1","1","1","2","3","2"
"20260217","2027","492","STATEN ISLAND COMMUNITY BOARD #2","N","325,687","325,687","325,687","1","1","1","2","3","2"
"20260512","2027","493","STATEN ISLAND COMMUNITY BOARD #3","N","432,660","432,660","433,825","3","3","3","2","2","2"
"20260217","2027","493","STATEN ISLAND COMMUNITY BOARD #3","N","432,660","432,660","430,660","3","3","3","2","2","2"
"20260512","2027","781","DEPARTMENT OF PROBATION","N","130,615,543","127,363,430","105,006,056","1,163","1,074","1,018","24","22","16"
"20260512","2027","781","DEPARTMENT OF PROBATION","Y","-14,957,053","-2,510,111","554,982","-88","0","0","0","0","0"
"20260217","2027","781","DEPARTMENT OF PROBATION","N","130,615,543","118,528,211","115,634,091","1,163","1,075","1,074","24","22","16"
"20260217","2027","781","DEPARTMENT OF PROBATION","Y","-14,957,053","-2,868,991","554,982","-88","0","0","0","0","0"
"20260512","2027","801","DEPARTMENT OF SMALL BUSINESS SERVICES","Y","6,375,000","2,775,000","7,108,917","1","0","-7","0","0","1"
"20260512","2027","801","DEPARTMENT OF SMALL BUSINESS SERVICES","N","273,336,843","366,938,135","219,070,670","369","400","396","113","117","110"
"20260217","2027","801","DEPARTMENT OF SMALL BUSINESS SERVICES","Y","6,375,000","2,775,000","515,000","1","0","1","0","0","0"
"20260217","2027","801","DEPARTMENT OF SMALL BUSINESS SERVICES","N","273,336,843","336,932,723","184,958,837","369","370","396","113","117","110"
"20260512","2027","806","HOUSING PRESERVATION AND DEVELOPMENT","Y","-52,298","361,452","4,814,010","-1","4","4","0","0","0"
"20260512","2027","806","HOUSING PRESERVATION AND DEVELOPMENT","N","1,611,172,988","2,071,830,101","1,534,192,098","2,839","2,875","2,866","122","121","121"
"20260217","2027","806","HOUSING PRESERVATION AND DEVELOPMENT","Y","-52,298","-52,298","832,702","-1","-1","4","0","0","0"
"20260217","2027","806","HOUSING PRESERVATION AND DEVELOPMENT","N","1,611,172,988","2,007,018,871","1,456,740,545","2,839","2,858","2,877","122","120","120"
"20260512","2027","810","DEPARTMENT OF BUILDINGS","Y","1,587,399","-285,121","-1,790,648","17","0","-9","0","0","0"
"20260512","2027","810","DEPARTMENT OF BUILDINGS","N","229,281,332","233,357,102","226,668,497","1,805","1,853","1,864","19","20","18"
"20260217","2027","810","DEPARTMENT OF BUILDINGS","Y","1,587,399","-655,121","70,587","17","0","0","0","0","0"
"20260217","2027","810","DEPARTMENT OF BUILDINGS","N","229,281,332","232,757,102","213,581,021","1,805","1,832","1,864","19","20","18"
"20260512","2027","816","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","N","2,331,612,338","2,924,262,586","2,603,782,777","5,827","6,303","6,035","1,280","1,244","1,258"
"20260512","2027","816","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","Y","108,975,186","3,648,404","39,776,416","104","-69","63","0","0","0"
"20260217","2027","816","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","N","2,331,612,338","2,728,367,705","2,467,724,335","5,827","6,216","5,937","1,280","1,273","1,276"
"20260217","2027","816","DEPARTMENT OF HEALTH AND MENTAL HYGIENE","Y","108,975,186","-4,668,185","44,703,886","104","-69","17","0","0","0"
"20260512","2027","819","HEALTH AND HOSPITALS CORP","N","1,672,894,540","2,300,131,283","1,746,334,316","0","0","0","0","0","0"
"20260217","2027","819","HEALTH AND HOSPITALS CORP","N","1,672,894,540","2,125,890,916","1,739,238,115","0","0","0","0","0","0"
"20260512","2027","820","OFFICE OF ADMIN TRIALS & HEARINGS","N","84,716,682","81,802,220","82,469,036","500","470","470","34","36","30"
"20260512","2027","820","OFFICE OF ADMIN TRIALS & HEARINGS","Y","-3,814,136","0","0","-32","0","0","0","0","0"
"20260217","2027","820","OFFICE OF ADMIN TRIALS & HEARINGS","N","84,716,682","81,654,426","80,050,821","500","470","470","34","36","30"
"20260217","2027","820","OFFICE OF ADMIN TRIALS & HEARINGS","Y","-3,814,136","0","0","-32","0","0","0","0","0"
"20260512","2027","826","DEPARTMENT OF ENVIRONMENTAL PROTECT.","N","1,777,503,034","1,940,270,493","1,842,244,841","6,334","6,410","6,465","378","377","385"
"20260512","2027","826","DEPARTMENT OF ENVIRONMENTAL PROTECT.","Y","-25,864,047","-25,864,047","-25,864,047","-26","-26","-26","0","0","0"
"20260217","2027","826","DEPARTMENT OF ENVIRONMENTAL PROTECT.","Y","-25,864,047","-25,864,047","-25,864,047","-26","-26","0","0","0","0"
"20260217","2027","826","DEPARTMENT OF ENVIRONMENTAL PROTECT.","N","1,777,503,034","1,914,937,248","1,712,661,288","6,334","6,403","6,348","378","378","385"
"20260512","2027","827","DEPARTMENT OF SANITATION","N","1,908,133,113","2,157,582,256","1,976,395,144","9,694","9,625","9,657","178","165","174"
"20260512","2027","827","DEPARTMENT OF SANITATION","Y","79,830,543","91,873,964","134,988,363","-76","0","117","0","0","0"
"20260217","2027","827","DEPARTMENT OF SANITATION","Y","79,830,543","68,901,220","149,199,295","-76","0","6","0","0","0"
"20260217","2027","827","DEPARTMENT OF SANITATION","N","1,908,133,113","1,938,077,548","1,927,351,323","9,694","9,625","9,618","178","166","174"
"20260512","2027","829","BUSINESS INTEGRITY COMMISSION","Y","-182,271","0","-182,271","0","0","0","0","0","0"
"20260512","2027","829","BUSINESS INTEGRITY COMMISSION","N","8,907,189","9,160,670","9,023,638","72","72","72","5","6","6"
"20260217","2027","829","BUSINESS INTEGRITY COMMISSION","Y","-182,271","-182,271","-182,271","0","0","0","0","0","0"
"20260217","2027","829","BUSINESS INTEGRITY COMMISSION","N","8,907,189","9,337,453","8,914,419","72","72","72","5","6","6"
"20260512","2027","836","DEPARTMENT OF FINANCE","N","386,066,193","390,380,382","374,999,752","2,189","2,015","2,021","68","74","68"
"20260512","2027","836","DEPARTMENT OF FINANCE","Y","-14,873,022","-2,755,696","-1,150,000","-191","0","-12","0","0","0"
"20260217","2027","836","DEPARTMENT OF FINANCE","Y","-14,873,022","-8,934,003","0","-191","0","0","0","0","0"
"20260217","2027","836","DEPARTMENT OF FINANCE","N","386,066,193","396,126,211","378,498,082","2,189","2,010","2,021","68","74","68"
"20260512","2027","841","DEPARTMENT OF TRANSPORTATION","Y","-10,348,769","3,298,661","65,364,867","44","-2","104","0","0","0"
"20260512","2027","841","DEPARTMENT OF TRANSPORTATION","N","1,513,390,802","1,571,814,949","1,569,853,873","5,831","5,958","5,942","581","580","581"
"20260217","2027","841","DEPARTMENT OF TRANSPORTATION","Y","-10,348,769","3,492,573","40,576,676","44","-2","38","0","0","0"
"20260217","2027","841","DEPARTMENT OF TRANSPORTATION","N","1,513,390,802","1,561,391,513","1,516,213,762","5,831","5,951","5,961","581","576","581"
"20260512","2027","846","DEPARTMENT OF PARKS AND RECREATION","N","671,815,075","714,639,759","672,221,195","5,009","5,142","5,044","283","296","283"
"20260512","2027","846","DEPARTMENT OF PARKS AND RECREATION","Y","15,822,691","-4,796,406","13,153,048","25","0","97","0","0","0"
"20260217","2027","846","DEPARTMENT OF PARKS AND RECREATION","Y","15,822,691","-4,796,406","-5,950,000","25","0","0","0","0","0"
"20260217","2027","846","DEPARTMENT OF PARKS AND RECREATION","N","671,815,075","714,021,703","659,902,826","5,009","5,142","5,024","283","297","283"
"20260512","2027","850","DEPARTMENT OF DESIGN & CONSTRUCTION","N","163,825,578","182,129,807","164,966,843","1,194","1,207","1,223","58","62","58"
"20260512","2027","850","DEPARTMENT OF DESIGN & CONSTRUCTION","Y","663,981","0","-977,000","13","0","-9","0","0","0"
"20260217","2027","850","DEPARTMENT OF DESIGN & CONSTRUCTION","Y","663,981","0","0","13","0","0","0","0","0"
"20260217","2027","850","DEPARTMENT OF DESIGN & CONSTRUCTION","N","163,825,578","179,671,382","163,435,477","1,194","1,207","1,207","58","62","58"
"20260512","2027","856","DEPARTMENT OF CITYWIDE ADMIN SERVICE","Y","-3,721,952","-9,232,828","-13,233,282","0","12","2","-1","-1","-1"
"20260512","2027","856","DEPARTMENT OF CITYWIDE ADMIN SERVICE","N","1,778,387,127","1,896,183,033","1,993,640,070","2,417","2,433","2,427","136","154","138"
"20260217","2027","856","DEPARTMENT OF CITYWIDE ADMIN SERVICE","Y","-3,721,952","-6,432,828","-9,297,954","0","12","20","-1","-1","-1"
"20260217","2027","856","DEPARTMENT OF CITYWIDE ADMIN SERVICE","N","1,778,387,127","1,848,421,523","1,702,759,839","2,417","2,443","2,419","136","150","137"
"20260512","2027","858","DEPARTMENT OF INFO TECH & TELECOMM","N","833,375,167","1,005,861,195","771,282,785","1,574","1,565","1,619","224","232","223"
"20260512","2027","858","DEPARTMENT OF INFO TECH & TELECOMM","Y","-15,541,871","-14,684,677","-17,223,896","-1","-1","-23","0","0","0"
"20260217","2027","858","DEPARTMENT OF INFO TECH & TELECOMM","Y","-15,541,871","-14,712,627","-17,654,160","-1","-1","-1","0","0","0"
"20260217","2027","858","DEPARTMENT OF INFO TECH & TELECOMM","N","833,375,167","903,523,050","720,200,093","1,574","1,565","1,539","224","232","223"
"20260512","2027","860","DEPARTMENT OF RECORDS & INFORMATION SVS","N","15,720,617","16,172,600","16,952,909","67","50","49","3","4","3"
"20260512","2027","860","DEPARTMENT OF RECORDS & INFORMATION SVS","Y","-487,240","0","0","-18","0","0","0","0","0"
"20260217","2027","860","DEPARTMENT OF RECORDS & INFORMATION SVS","Y","-487,240","0","0","-18","0","0","0","0","0"
"20260217","2027","860","DEPARTMENT OF RECORDS & INFORMATION SVS","N","15,720,617","15,834,510","15,520,208","67","50","49","3","4","3"
"20260512","2027","866","DEPT OF CONSUMER & WORKER PROTECTION","N","76,915,083","85,538,980","78,878,592","523","484","561","25","33","27"
"20260512","2027","866","DEPT OF CONSUMER & WORKER PROTECTION","Y","-1,844,465","0","-431,505","-48","0","-1","0","0","0"
"20260217","2027","866","DEPT OF CONSUMER & WORKER PROTECTION","Y","-1,844,465","0","107,753","-48","0","0","0","0","0"
"20260217","2027","866","DEPT OF CONSUMER & WORKER PROTECTION","N","76,915,083","81,664,618","74,632,297","523","475","484","25","30","27"
"20260512","2027","901","DISTRICT ATTORNEY NEW YORK COUNTY","N","177,047,231","227,306,228","179,850,560","1,159","1,159","1,159","13","13","13"
"20260512","2027","901","DISTRICT ATTORNEY NEW YORK COUNTY","Y","2,983,591","0","0","167","167","167","0","0","0"
"20260217","2027","901","DISTRICT ATTORNEY NEW YORK COUNTY","Y","2,983,591","0","0","167","167","167","0","0","0"
"20260217","2027","901","DISTRICT ATTORNEY NEW YORK COUNTY","N","177,047,231","208,832,816","179,669,507","1,159","1,159","1,159","13","13","12"
"20260512","2027","902","DISTRICT ATTORNEY BRONX COUNTY","Y","10,703,845","0","0","109","235","235","0","0","0"
"20260512","2027","902","DISTRICT ATTORNEY BRONX COUNTY","N","117,616,871","161,896,222","143,689,699","1,119","1,119","1,119","7","8","7"
"20260217","2027","902","DISTRICT ATTORNEY BRONX COUNTY","N","117,616,871","161,086,967","142,068,555","1,119","1,119","1,119","7","8","7"
"20260217","2027","902","DISTRICT ATTORNEY BRONX COUNTY","Y","10,703,845","0","1,483,634","109","217","235","0","0","0"
"20260512","2027","903","DISTRICT ATTORNEY KINGS COUNTY","Y","14,126,962","0","0","102","0","0","0","0","0"
"20260512","2027","903","DISTRICT ATTORNEY KINGS COUNTY","N","143,771,471","203,280,649","166,781,430","1,098","1,383","1,383","13","12","12"
"20260217","2027","903","DISTRICT ATTORNEY KINGS COUNTY","N","143,771,471","193,728,861","162,173,838","1,098","1,205","1,205","13","12","12"
"20260217","2027","903","DISTRICT ATTORNEY KINGS COUNTY","Y","14,126,962","3,742,352","4,213,390","102","154","178","0","0","0"
"20260512","2027","904","DISTRICT ATTORNEY QUEENS COUNTY","Y","1,846,848","0","0","101","101","101","0","0","0"
"20260512","2027","904","DISTRICT ATTORNEY QUEENS COUNTY","N","106,286,231","127,836,052","108,570,101","782","782","782","15","18","15"
"20260217","2027","904","DISTRICT ATTORNEY QUEENS COUNTY","N","106,286,231","122,221,865","108,222,063","782","782","782","15","18","15"
"20260217","2027","904","DISTRICT ATTORNEY QUEENS COUNTY","Y","1,846,848","0","0","101","101","101","0","0","0"
"20260512","2027","905","DISTRICT ATTORNEY RICHMOND COUNTY","Y","1,115,000","0","4,652","16","7","7","0","0","0"
"20260512","2027","905","DISTRICT ATTORNEY RICHMOND COUNTY","N","25,898,456","32,849,325","26,917,637","207","216","216","8","9","8"
"20260217","2027","905","DISTRICT ATTORNEY RICHMOND COUNTY","N","25,898,456","30,697,617","26,816,940","207","216","216","8","9","8"
"20260217","2027","905","DISTRICT ATTORNEY RICHMOND COUNTY","Y","1,115,000","0","4,652","16","7","7","0","0","0"
"20260512","2027","906","OFFICE OF PROSECUTION SPEC NARCO","Y","1,452,445","0","0","18","18","18","0","0","0"
"20260512","2027","906","OFFICE OF PROSECUTION SPEC NARCO","N","30,242,104","31,694,549","31,714,357","239","239","239","8","9","9"
"20260217","2027","906","OFFICE OF PROSECUTION SPEC NARCO","N","30,242,104","31,694,549","31,714,357","239","239","239","8","9","9"
"20260217","2027","906","OFFICE OF PROSECUTION SPEC NARCO","Y","1,452,445","0","0","18","18","18","0","0","0"
"20260512","2027","941","PUBLIC ADMINISTRATOR-NEW YORK COUNTY","Y","120,985","120,985","127,963","0","0","0","0","0","0"
"20260512","2027","941","PUBLIC ADMINISTRATOR-NEW YORK COUNTY","N","1,199,036","1,199,036","1,097,898","13","13","13","0","0","0"
"20260217","2027","941","PUBLIC ADMINISTRATOR-NEW YORK COUNTY","Y","120,985","120,985","127,963","0","0","0","0","0","0"
"20260217","2027","941","PUBLIC ADMINISTRATOR-NEW YORK COUNTY","N","1,199,036","1,199,036","1,200,185","13","13","13","0","0","0"
"20260512","2027","942","PUBLIC ADMINISTRATOR-BRONX COUNTY","Y","82,551","77,383","89,529","0","0","0","0","0","0"
"20260512","2027","942","PUBLIC ADMINISTRATOR-BRONX COUNTY","N","801,111","1,076,279","806,836","10","10","10","0","0","0"
"20260217","2027","942","PUBLIC ADMINISTRATOR-BRONX COUNTY","N","801,111","1,076,279","801,111","10","10","10","0","0","0"
"20260217","2027","942","PUBLIC ADMINISTRATOR-BRONX COUNTY","Y","82,551","77,383","89,529","0","0","0","0","0","0"
"20260512","2027","943","PUBLIC ADMINISTRATOR-KINGS COUNTY","Y","83,183","83,183","104,161","0","0","0","0","0","0"
"20260512","2027","943","PUBLIC ADMINISTRATOR-KINGS COUNTY","N","1,053,223","1,053,223","1,059,100","15","15","15","2","2","2"
"20260217","2027","943","PUBLIC ADMINISTRATOR-KINGS COUNTY","Y","83,183","83,183","90,161","0","0","0","0","0","0"
"20260217","2027","943","PUBLIC ADMINISTRATOR-KINGS COUNTY","N","1,053,223","1,053,223","1,053,223","15","15","15","2","2","2"
"20260512","2027","944","PUBLIC ADMINISTRATOR- QUEENS COUNTY","N","616,203","616,203","616,203","8","8","8","0","0","0"
"20260512","2027","944","PUBLIC ADMINISTRATOR- QUEENS COUNTY","Y","78,405","78,405","85,383","0","0","0","0","0","0"
"20260217","2027","944","PUBLIC ADMINISTRATOR- QUEENS COUNTY","N","616,203","616,203","616,203","8","8","8","0","0","0"
"20260217","2027","944","PUBLIC ADMINISTRATOR- QUEENS COUNTY","Y","78,405","78,405","85,383","0","0","0","0","0","0"
"20260512","2027","945","PUBLIC ADMINISTRATOR-RICHMOND COUNTY","Y","119,682","97,416","101,660","0","0","0","0","0","0"
"20260512","2027","945","PUBLIC ADMINISTRATOR-RICHMOND COUNTY","N","553,920","576,186","555,968","5","5","5","0","1","0"
"20260217","2027","945","PUBLIC ADMINISTRATOR-RICHMOND COUNTY","N","553,920","576,186","553,920","5","5","5","0","1","0"
"20260217","2027","945","PUBLIC ADMINISTRATOR-RICHMOND COUNTY","Y","119,682","97,416","101,660","0","0","0","0","0","0"
"20260217","2027","99C","CITYWIDE SAVINGS INITIATIVES","Y","0","0","-1,060,000,000","0","0","0","0","0","0"
"20260512","2027","99D","PRIOR YEAR PAYABLES","Y","0","0","-400,000,000","0","0","0","0","0","0"
"20260217","2027","99P","ENERGY ADJUSTMENT","Y","0","0","112,689,973","0","0","0","0","0","0"
"20260217","2027","99S","LEASE ADJUSTMENT","Y","0","0","53,230,428","0","0","0","0","0","0"
