"Publication Date","Fiscal Year","Agency Number","Agency Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","073","BOARD OF CORRECTION","N","4,086,397","4,136,789","3,999,397","33","33","33","2","2","2"
"20260512","2027","095","PENSION CONTRIBUTIONS","N","10,478,679,824","10,494,750,974","10,403,114,850","0","0","0","0","0","0"
"20260512","2027","095","PENSION CONTRIBUTIONS","Y","0","0","-1,643,700,000","0","0","0","0","0","0"
"20260217","2027","095","PENSION CONTRIBUTIONS","Y","0","0","-170,000,000","0","0","0","0","0","0"
"20260217","2027","095","PENSION CONTRIBUTIONS","N","10,478,679,824","10,478,679,824","10,703,135,397","0","0","0","0","0","0"
"20260512","2027","098","MISCELLANEOUS","Y","0","-922,000,000","0","0","0","0","0","0","0"
"20260512","2027","098","MISCELLANEOUS","N","15,528,804,614","14,390,635,430","15,355,767,840","0","0","0","14","15","14"
"20260217","2027","098","MISCELLANEOUS","Y","0","-212,000,000","0","0","0","0","0","0","0"
"20260217","2027","098","MISCELLANEOUS","N","15,528,804,614","15,462,792,370","15,931,941,870","0","0","0","14","15","14"
"20260512","2027","099","DEBT SERVICE","N","4,874,454,475","4,789,906,052","8,471,683,074","0","0","0","2","2","2"
"20260217","2027","099","DEBT SERVICE","N","4,874,454,475","4,829,835,626","9,289,484,329","0","0","0","2","2","2"
"20260512","2027","101","PUBLIC ADVOCATE","N","6,577,266","6,577,266","6,606,530","63","63","63","2","2","2"
"20260512","2027","101","PUBLIC ADVOCATE","Y","-1,034,608","-873,870","-1,034,608","-7","-7","-7","0","0","0"
"20260217","2027","101","PUBLIC ADVOCATE","Y","-1,034,608","-1,034,608","-1,034,608","-7","-7","-7","0","0","0"
"20260217","2027","101","PUBLIC ADVOCATE","N","6,577,266","6,577,266","6,577,334","63","63","63","2","2","2"
"20260512","2027","102","CITY COUNCIL","N","115,049,827","115,049,827","127,061,862","1,021","1,021","1,078","78","78","78"
"20260217","2027","102","CITY COUNCIL","Y","0","0","20,777,115","0","0","106","0","0","0"
"20260217","2027","102","CITY COUNCIL","N","115,049,827","115,049,827","74,858,042","1,021","1,021","839","78","78","82"
"20260512","2027","103","CITY CLERK","Y","-33,699","0","0","-3","0","0","0","0","0"
"20260512","2027","103","CITY CLERK","N","8,958,412","8,924,713","6,016,123","58","55","55","6","6","6"
"20260217","2027","103","CITY CLERK","Y","-33,699","0","0","-3","0","0","0","0","0"
"20260217","2027","103","CITY CLERK","N","8,958,412","8,924,713","6,002,553","58","55","55","6","6","6"
"20260512","2027","125","DEPARTMENT FOR THE AGING","Y","122,233,858","11,711,738","28,486,167","0","0","0","0","0","0"
"20260512","2027","125","DEPARTMENT FOR THE AGING","N","483,240,847","610,619,290","548,563,886","340","352","343","1,426","1,429","1,471"
"20260217","2027","125","DEPARTMENT FOR THE AGING","N","483,240,847","598,674,177","523,451,590","340","352","352","1,426","1,427","1,470"
"20260217","2027","125","DEPARTMENT FOR THE AGING","Y","122,233,858","15,286,804","50,036,759","0","0","0","0","0","0"
"20260512","2027","126","DEPARTMENT OF CULTURAL AFFAIRS","Y","0","0","-300,000","0","0","-5","0","0","0"
"20260512","2027","126","DEPARTMENT OF CULTURAL AFFAIRS","N","299,657,922","301,495,861","239,946,730","58","58","58","658","657","658"
"20260217","2027","126","DEPARTMENT OF CULTURAL AFFAIRS","Y","0","0","0","0","0","0","0","0","0"
"20260217","2027","126","DEPARTMENT OF CULTURAL AFFAIRS","N","299,657,922","300,684,651","215,948,310","58","58","58","658","657","658"
"20260512","2027","127","FINANCIAL INFORMATION SERVICE AGENCY","N","124,279,658","127,185,281","123,488,563","430","400","400","64","64","64"
"20260512","2027","127","FINANCIAL INFORMATION SERVICE AGENCY","Y","-1,348,745","0","1,565,916","-30","0","-2","0","0","0"
"20260217","2027","127","FINANCIAL INFORMATION SERVICE AGENCY","Y","-1,348,745","0","1,712,647","-30","0","0","0","0","0"
"20260217","2027","127","FINANCIAL INFORMATION SERVICE AGENCY","N","124,279,658","123,138,913","122,723,962","430","400","400","64","64","64"
"20260512","2027","128","OFFICE OF CRIMINAL JUSTICE","N","848,123,673","1,040,041,184","897,626,772","74","146","72","80","91","63"
"20260512","2027","128","OFFICE OF CRIMINAL JUSTICE","Y","20,194,055","0","-12,648,183","0","0","0","0","0","0"
"20260217","2027","128","OFFICE OF CRIMINAL JUSTICE","Y","20,194,055","0","1","0","0","0","0","0","0"
"20260217","2027","128","OFFICE OF CRIMINAL JUSTICE","N","848,123,673","1,030,696,337","889,582,521","74","146","77","80","90","61"
"20260512","2027","131","OFFICE OF PAYROLL ADMINISTRATION","Y","52,274","0","-442,000","-10","0","-4","0","0","0"
"20260512","2027","131","OFFICE OF PAYROLL ADMINISTRATION","N","17,521,095","19,520,952","17,592,942","150","140","140","11","8","11"
"20260217","2027","131","OFFICE OF PAYROLL ADMINISTRATION","Y","52,274","0","0","-10","0","0","0","0","0"
"20260217","2027","131","OFFICE OF PAYROLL ADMINISTRATION","N","17,521,095","18,591,189","17,592,942","150","140","140","11","11","11"
"20260512","2027","132","INDEPENDENT BUDGET OFFICE","N","8,071,880","8,283,761","8,431,124","38","38","38","9","10","9"
"20260512","2027","132","INDEPENDENT BUDGET OFFICE","Y","271,523","0","14,750","0","0","0","0","0","0"
"20260217","2027","132","INDEPENDENT BUDGET OFFICE","N","8,071,880","8,283,761","8,199,741","38","38","38","9","9","8"
"20260217","2027","132","INDEPENDENT BUDGET OFFICE","Y","271,523","0","227,292","0","0","0","0","0","0"
"20260512","2027","133","EQUAL EMPLOYMENT PRACTICES COMMISSION","N","1,689,048","1,599,048","1,600,246","16","15","15","2","2","2"
"20260512","2027","133","EQUAL EMPLOYMENT PRACTICES COMMISSION","Y","-83,000","7,000","7,000","-1","0","0","0","0","0"
"20260217","2027","133","EQUAL EMPLOYMENT PRACTICES COMMISSION","Y","-83,000","7,000","7,000","-1","0","0","0","0","0"
"20260217","2027","133","EQUAL EMPLOYMENT PRACTICES COMMISSION","N","1,689,048","1,599,048","1,600,246","16","15","15","2","2","2"
"20260512","2027","134","CIVIL SERVICE COMMISSION","N","1,228,443","1,217,197","1,217,197","7","7","7","3","3","3"
"20260512","2027","134","CIVIL SERVICE COMMISSION","Y","-11,246","0","0","0","0","0","0","0","0"
"20260217","2027","134","CIVIL SERVICE COMMISSION","Y","-11,246","0","0","0","0","0","0","0","0"
"20260217","2027","134","CIVIL SERVICE COMMISSION","N","1,228,443","1,217,197","1,217,197","7","7","7","3","3","3"
"20260512","2027","136","LANDMARKS PRESERVATION COMM.","N","8,362,404","8,963,429","8,234,711","80","81","81","20","20","20"
"20260512","2027","136","LANDMARKS PRESERVATION COMM.","Y","-218,039","0","-121,000","-3","-3","-5","0","0","0"
"20260217","2027","136","LANDMARKS PRESERVATION COMM.","N","8,362,404","8,963,429","8,148,242","80","81","81","20","20","20"
"20260217","2027","136","LANDMARKS PRESERVATION COMM.","Y","-218,039","0","0","-3","-3","-3","0","0","0"
"20260512","2027","156","NYC TAXI AND LIMOUSINE COMM","Y","-4,173,742","-4,173,742","-6,684,289","-3","-3","-55","0","0","0"
"20260512","2027","156","NYC TAXI AND LIMOUSINE COMM","N","62,307,600","66,207,600","76,325,368","549","549","549","32","28","30"
"20260217","2027","156","NYC TAXI AND LIMOUSINE COMM","N","62,307,600","66,207,600","62,095,083","549","549","549","32","28","30"
"20260217","2027","156","NYC TAXI AND LIMOUSINE COMM","Y","-4,173,742","-4,173,742","-4,173,742","-3","-3","-3","0","0","0"
"20260512","2027","213","OFFICE OF RACIAL EQUITY","Y","-246,000","0","-375,000","0","0","-3","0","0","0"
"20260512","2027","213","OFFICE OF RACIAL EQUITY","N","7,523,388","5,716,204","9,947,657","38","38","41","0","2","0"
"20260217","2027","213","OFFICE OF RACIAL EQUITY","N","7,523,388","6,726,204","5,627,388","38","38","38","0","2","0"
"20260217","2027","213","OFFICE OF RACIAL EQUITY","Y","-246,000","0","0","0","0","0","0","0","0"
"20260512","2027","215","COMMISSION ON RACIAL EQUITY","N","4,827,741","4,827,741","4,627,741","16","16","16","4","4","4"
"20260217","2027","215","COMMISSION ON RACIAL EQUITY","N","4,827,741","4,827,741","4,627,741","16","16","16","4","4","4"
"20260512","2027","226","COMMISSION ON HUMAN RIGHTS","N","15,371,167","15,746,142","13,396,983","141","141","124","5","16","5"
"20260512","2027","226","COMMISSION ON HUMAN RIGHTS","Y","-15,507","0","1","0","0","0","0","0","0"
"20260217","2027","226","COMMISSION ON HUMAN RIGHTS","Y","-15,507","-706,507","1","0","0","0","0","0","0"
"20260217","2027","226","COMMISSION ON HUMAN RIGHTS","N","15,371,167","16,142,649","14,257,916","141","141","133","5","16","5"
"20260512","2027","260","DEPARTMENT OF YOUTH & COMMUNITY DEV","Y","28,905,925","-161,912,441","20,769,442","34","34","7","0","0","0"
"20260512","2027","260","DEPARTMENT OF YOUTH & COMMUNITY DEV","N","1,485,235,517","1,710,049,157","1,598,626,153","607","687","697","1,025","1,036","1,032"
"20260217","2027","260","DEPARTMENT OF YOUTH & COMMUNITY DEV","Y","28,905,925","-168,811,490","58,024,562","34","34","34","0","0","0"
"20260217","2027","260","DEPARTMENT OF YOUTH & COMMUNITY DEV","N","1,485,235,517","1,697,854,907","1,575,609,145","607","687","681","1,025","1,036","1,031"
"20260512","2027","312","CONFLICTS OF INTEREST BOARD","Y","-1,000","0","0","0","0","0","0","0","0"
"20260512","2027","312","CONFLICTS OF INTEREST BOARD","N","2,861,750","2,860,750","3,011,066","22","22","24","7","7","7"
"20260217","2027","312","CONFLICTS OF INTEREST BOARD","N","2,861,750","2,860,750","2,861,782","22","22","22","7","7","7"
"20260217","2027","312","CONFLICTS OF INTEREST BOARD","Y","-1,000","0","0","0","0","0","0","0","0"
"20260512","2027","313","OFFICE OF COLLECTIVE BARGAINING","N","2,825,195","2,825,195","2,825,196","15","15","15","7","6","7"
"20260217","2027","313","OFFICE OF COLLECTIVE BARGAINING","N","2,825,195","2,825,195","2,825,196","15","15","15","7","7","7"
"20260512","2027","341","MANHATTAN COMMUNITY BOARD #1","N","302,305","471,499","296,305","3","3","3","1","2","1"
"20260217","2027","341","MANHATTAN COMMUNITY BOARD #1","N","302,305","471,499","296,305","3","3","3","1","2","1"
"20260512","2027","342","MANHATTAN COMMUNITY BOARD #2","N","391,085","479,204","390,632","4","4","4","2","4","2"
"20260217","2027","342","MANHATTAN COMMUNITY BOARD #2","N","391,085","469,404","386,085","4","4","4","2","4","2"
"20260512","2027","343","MANHATTAN COMMUNITY BOARD #3","N","451,596","463,410","463,207","4","4","4","0","4","0"
"20260217","2027","343","MANHATTAN COMMUNITY BOARD #3","N","451,596","463,410","443,096","4","4","4","0","4","0"
"20260512","2027","344","MANHATTAN COMMUNITY BOARD #4","N","449,041","449,041","449,041","3","3","3","1","2","1"
"20260217","2027","344","MANHATTAN COMMUNITY BOARD #4","N","449,041","449,041","449,041","3","3","3","1","2","1"
"20260512","2027","345","MANHATTAN COMMUNITY BOARD #5","N","421,019","421,019","423,470","3","3","3","1","1","1"
"20260217","2027","345","MANHATTAN COMMUNITY BOARD #5","N","421,019","421,019","416,019","3","3","3","1","1","1"
"20260512","2027","346","MANHATTAN COMMUNITY BOARD #6","N","481,762","627,663","474,081","4","4","4","1","1","1"
"20260217","2027","346","MANHATTAN COMMUNITY BOARD #6","N","481,762","627,663","473,262","4","4","4","1","1","1"
"20260512","2027","347","MANHATTAN COMMUNITY BOARD #7","N","476,493","476,493","474,944","3","3","3","1","1","1"
"20260217","2027","347","MANHATTAN COMMUNITY BOARD #7","N","476,493","476,493","465,493","3","3","3","1","1","1"
"20260512","2027","348","MANHATTAN COMMUNITY BOARD #8","N","473,952","473,952","461,314","4","4","4","2","2","2"
"20260217","2027","348","MANHATTAN COMMUNITY BOARD #8","N","473,952","473,952","458,952","4","4","4","2","2","2"
"20260512","2027","349","MANHATTAN COMMUNITY BOARD #9","N","431,952","451,952","422,102","2","2","2","2","2","2"
"20260217","2027","349","MANHATTAN COMMUNITY BOARD #9","N","431,952","431,952","414,452","2","2","2","2","2","2"
"20260512","2027","350","MANHATTAN COMMUNITY BOARD #10","N","514,822","514,822","499,822","3","3","3","0","0","0"
"20260217","2027","350","MANHATTAN COMMUNITY BOARD #10","N","514,822","514,822","499,822","3","3","3","0","0","0"
"20260512","2027","351","MANHATTAN COMMUNITY BOARD #11","N","410,575","410,575","394,946","3","3","3","1","2","1"
"20260217","2027","351","MANHATTAN COMMUNITY BOARD #11","N","410,575","410,575","393,075","3","3","3","1","2","1"
"20260512","2027","352","MANHATTAN COMMUNITY BOARD #12","N","450,041","450,041","493,989","3","3","3","1","1","1"
"20260217","2027","352","MANHATTAN COMMUNITY BOARD #12","N","450,041","450,041","437,541","3","3","3","1","1","1"
"20260512","2027","381","BRONX COMMUNITY BOARD #1","N","366,943","366,943","362,271","2","2","2","1","0","1"
"20260217","2027","381","BRONX COMMUNITY BOARD #1","N","366,943","366,943","361,943","2","2","2","1","0","1"
"20260512","2027","382","BRONX COMMUNITY BOARD #2","N","399,815","409,815","374,815","2","2","2","1","1","1"
"20260217","2027","382","BRONX COMMUNITY BOARD #2","N","399,815","409,815","374,815","2","2","2","1","1","1"
"20260512","2027","383","BRONX COMMUNITY BOARD #3","N","340,425","340,425","339,852","2","2","2","1","1","1"
